channel,user,text,ts
general,U071GEQ4J13,a,1715015368.090629
general,U070C5QQS5U,hola,1714860451.283129
general,U070C5QQS5U,hola,1714858024.292389
general,U070C5QQS5U, ,1714857932.243169
general,U070C5QQS5U,hola,1714857750.877209
general,U070C5QQS5U,soyy,1714849148.538119
general,U070C5QQS5U,soy,1714849142.604239
general,U070C5QQS5U,siiii,1714849121.329839
general,U070C5QQS5U,hola,1714848641.228479
general,U070C5QQS5U,sooolo,1714699946.275229
general,U070C5QQS5U,test,1714697721.700569
general,U070C5QQS5U,hola soy julian,1714695805.331049
general,U071GEQ4J13,prueba 2,1714689056.216149
general,U071GEQ4J13,prueba,1714687879.949309
general,U070C5QQS5U, U071GEQ4J13 ,1714610210.878829
general,U070C5QQS5U,hola probando,1714609526.232509
general,U071GEQ4J13,dejo mi mensajito,1714589630.769979
general,U071GEQ4J13,holaaaa,1714589618.569949
general,U070C5QQS5U,soy andres,1714580572.223189
general,U070C5QQS5U,soy julian,1714580009.405859
general,U070C5QQS5U,probando,1714579981.542149
general,U070C5QQS5U,prov,1714529999.546979
general,U070C5QQS5U,soy,1714529965.557139
general,U070C5QQS5U,probando,1714525822.118469
general,U070C5QQS5U,suma,1714523102.361369
general,U070C5QQS5U,alo,1714513060.728579
general,U070C5QQS5U,noooooo,1714513042.225999
general,U070C5QQS5U,noo,1714513008.912759
general,U070C5QQS5U,llegaste ,1714512959.912149
general,U070C5QQS5U,sii,1714512906.720149
general,U070C5QQS5U,andoo,1714512880.140699
general,U070C5QQS5U,sisisi,1714512460.394449
general,U070C5QQS5U,si senor,1714512432.794899
general,U070C5QQS5U,soy,1714512411.182009
general,U070C5QQS5U,entonces,1714512212.915079
general,U070C5QQS5U,soy jesus,1714511974.410949
general,U070C5QQS5U,probando,1714511960.853389
general,U070C5QQS5U,que trae,1714511732.828619
general,U070C5QQS5U,como vamos,1714511443.011239
general,U070C5QQS5U,entonces que,1714511422.083649
general,U070C5QQS5U,sim,1714510666.857649
general,U070C5QQS5U,otra,1714510654.288559
general,U070C5QQS5U,otra,1714510643.834489
general,U070C5QQS5U,soy,1714510491.198589
general,U070C5QQS5U,probando,1714510471.201819
general,U070C5QQS5U,hola,1714510237.112609
general,U070C5QQS5U,probando de nuevo,1714509876.893509
general,U070C5QQS5U,prueba 2,1714509812.850259
general,U070C5QQS5U,soy andres,1714509776.378339
general,U070C5QQS5U,soy julian,1714509668.474439
general,U070C5QQS5U,hola,1714509507.396569
general,U070C5QQS5U,return,1714509391.001249
